Orden_Salida,Numero,Categoria,Marca,Modelo,Piloto,Ciudad_Piloto,Piloto_Alternante,Ciudad_Piloto_Alternante,Copiloto,Ciudad_Copiloto,Copiloto_Alternante,Ciudad_Copiloto_Alternante,Hora_Salida
1,674,TT,CHEVROLET,VITARA,EDISON BRAVO SALAZAR,QUITO,,,MISHAEL GUERRERO CANDILEJO,AMBATO,,,13:30:00
2,776,CAMIONETAS,SINOTRUK,BOLDEN,RAUL CHAVEZ MUÑOZ,UIO,,,EDUARDO TAMAYO ROJAS,UIO,,,13:30:00
3,699,TT,CHEVROLET,VITARA,RICARDO ZAMBRANO ZAMBRANO,STO.DOMINGO,,,LUIS REAL ERAZO,RIOBAMBA,,,13:35:00
4,676,TT,CHEVROLET,VITARA,LUIS PEÑA GRANDA,ESMERALDAS,,,DANIEL CAMPAÑA ROCHA,UIO,,,13:35:00
5,610,SUV,HYUNDAI,TUCSON,MARIO AMOROSO CABRERA,CUENCA,,,DIEGO ZAMORA AGUILAR,CUENCA,,,13:40:00
6,606,SUV,HYUNDAI,TUCSON,ANDRES GARCIA AVILA,CUENCA,,,BORIS QUEZADA PAUTA,CUENCA,,,13:40:00
7,410,T1,HYUNDAI,GRAND i10,JOHN SOLORZANO GORDILLO,YANTZAZA,,,JUAN FRANCISCO SARMIENTO ANDRADE,LOJA,,,13:45:00
8,614,SUV,HYUNDAI,TUCSON,FERNANDO ARIZAGA LUCERO,CUENCA,,,MARCELO LEON ORDOÑEZ,GUALACEO,,,13:45:00
9,445,T1,HYUNDAI,GRAND i10,DIEGO ALVAREZ NARANJO,LATACUNGA,,,PAULO NARANJO ALVAREZ,LATACUNGA,,,13:50:00
10,427,T1,HYUNDAI,GRAND i10,ERICK NIOLA JIMBO,CUENCA,,,DANNY NIOLA JIMBO,CUENCA,,,13:50:00
11,482,T1,HYUNDAI,GRAND i10,SANTIAGO ESPINOSA,NEW JERSEY,,,PATRICIO ESPINOSA,NEW JERSEY,,,13:55:00
12,477,T1,HYUNDAI,GRAND i10,LUIS MONTAÑO CORREA,YANTZAZA,,,PABLO ANDRES SARMIENTO COBOS,LOJA,,,13:55:00
13,302,T3,PEUGEOT,206,JEAN PIERRE ZAMBRANO TUBAY,STO.DOMINGO,,,JEAN PIERRE NARVAEZ LARA,SANGOLQUI,,,14:00:00
14,488,T1,HYUNDAI,GRAND i10,SANTIAGO REYES LUIT,RIOBAMBA,,,PABLO REYES ALVEAR,RIOBAMBA,,,14:00:00
15,325,T3,KIA,RIO LX,ALEX SORIA ROBALINO,PILLARO,JUAN CARLOS PAREDES LOPEZ,AMBATO,ANDRES MESIAS RUIZ,AMBATO,,,14:05:00
16,324,T3,KIA,RIO,JUAN CARLOS NAVAS,AMBATO,,,IVAN MUÑOZ VALLEJO,RIOBAMBA,,,14:05:00
17,347,T3,KIA,RIO,JUAN CARLOS VELASCO,AMBATO,,,DIEGO ARELLANO,AMBATO,,,14:10:00
18,328,T3,PEUGEOT,206,MARLON BRAVO RAMIREZ,PIÑAS,,,OSCAR BRAVO,PIÑAS,,,14:10:00
19,247,T4-T,OPEL,CORSA,FERNANDO SANDOVAL,UIO,,,HERDAR RAMOS,TULCAN,,,14:15:00
20,946,UTV-T,CAN-AM,MAVERICK,DIEGO TOBAR TOVAR,LATACUNGA,,,RENATO BUSTAMANTE AMOROSO,CUENCA,,,14:20:00
21,949,UTV-T,CAN-AM,MAVERICK,RICHARD MORENO MANCHAY,YANTZAZA,,,MARCEL ORDOÑEZ AGREDA,NABON,,,14:20:00
22,936,UTV-T,CAN-AM,MAVERICK X3,JEFFERSON REYES GORDILLO,PORTOVELO,JORGE CASTRO,,JHONNY JARAMILLO ESPINOZA,PORTOVELO,GREGORY JARA LEON,PORTOVELO,14:25:00
23,943,UTV-T,CAN-AM,MAVERICK X3,GUSTAVO ROCHE CASTILLO,LOJA,,,MIGUEL ESPINOSA JARA,LOJA,,,14:25:00
24,916,UTV-T,CAN-AM,MAVERICK X3,DAVID BERMEO RAMON,LOJA,,,BRIGGETTE CAROLINA CARRION GALVEZ,LOJA,,,14:30:00
25,917,UTV-T,CAN-AM,MAVERICK X3,JUAN DIEGO SARMIENTO,AZUAY,,,DIEGO MONTOYA GARCIA,LOJA,,,14:30:00
26,912,UTV-T,CAN-AM,MAVERICK,ESTEBAN CABRERA MUÑOZ,GYE,,,ESTEBAN CABRERA MONTOYA,GYE,,,14:35:00
27,915,UTV-T,CAN-AM,MAVERICK,GEOVANNY SCHWEITZER PAZMIÑO,GYE,,,HORACIO GALECIO BACILIO,GYE,,,14:35:00
28,904,UTV-T,CAN-AM,MAVERICK X3,HECTOR BRAVO BELLO,GYE,,,JORGE SOLANO DE LA SALA,GYE,,,14:40:00
29,909,UTV-T,CAN-AM,MAVERICK X3,VICENTE ORTEGA,,,,DANIEL ALVAREZ,,,,14:40:00
30,955,UTV-R,CAN-AM,MAVERICK R,CRISTOBAL MEDINA AGUIRRE,CUENCA,,,JORGE DURAN DURAN,CUENCA,,,14:45:00
31,952,UTV-R,CAN-AM,MAVERICK R,RICKY ROMERO HEYMANN,GYE,,,LEYTON FERNANDO ALAY,GYE,,,14:45:00
32,120,RC2N,MITSUBISHI,EVO 9,LUIS ASTUDILLO DELGADO,CUENCA,,,LUIS MENA MONTOYA,AMBATO,,,14:50:00
33,999,UTV-R,CAN-AM,MAVERICK R,JUAN DANIEL BERNAL,CUENCA,,,JOSÉ MORAN VASQUEZ,LATACUNGA,,,14:50:00
34,16,RALLY 2 / R5,SKODA,FABIA RS,ALFONSO QUIROLA BUSTOS,GYE,,,LEONARDO ROJAS CORDOVA,LOJA,,,14:55:00
35,23,PROTO,PROTOCARS EC,PROTOCARS EC,DAVID VALLADARES VEINTIMILLA,MACARA,,,ANDRES AGUILAR CARDENAS,LOJA,,,14:55:00
